Nuoroda;Ar apie dividendus?;Išmok?ta iš viso;Išmok?ta už akcij?;Valiuta;Už kuriuos metus;Kompanijos pavadinimas;Straipsnio data
https://www.alfa.lt/straipsnis/50276626/telia-lietuva-ketina-ismoketi-40-8-mln-euru-dividendu?ref=astromanija-web;1;40783000;0,07;Eur;2017;„Telia Lietuva“;2018-04-25
https://www.alfa.lt/straipsnis/50160884/invl-baltic-real-estate-ismokes-789-tukst-euru-dividendu;1;789000;0,012;Eur;2016;„INVL Baltic Real Estate“;2017-04-11
https://www.alfa.lt/straipsnis/50293924/daugiau-pelno-uzdirbusi-olifeja-dividendams-skyre-4-mln-euru;1;4000000;;Eur;2017;„Olif?ja“;2018-05-28
https://www.alfa.lt/straipsnis/50293231/lietuvos-oro-uostai-i-salies-biudzeta-perves-rekordine-dividendu-suma;1;3400000;;Eur;2017;Lietuvos oro uostai;2018-05-25
https://www.alfa.lt/straipsnis/50162081/ministerija-lietuvos-energijos-indelis-i-biudzeta-per-100-mln-euru;1;100800000;;Eur;2017;„Lietuvos energija“;2017-04-13
https://www.alfa.lt/straipsnis/50038167/graza-valstybei-lietuvos-pastas-ismokes-beveik-0-7-mln-euru-dividendu;1;700000;;Eur;2015;Lietuvos paštas;2016-06-14
http://www.rokiskio.com/lt/suris/pagrindinis-meniu/investuotojams/Visuotiniai-akcininku-susirinkimai/dividendu-mokejimo-tvarka-2.html;1;;0,1;Eur;2017;„Rokiškio s?ris“;
http://www.ve.lt/naujienos/ekonomika/ekonomikos-naujienos/laivininkystes-dividendai---05-mln-litu/;1;498960;0,025;Lt;2007;„Lietuvos j?r? laivininkyst?“;2008-04-29
http://www.ve.lt/naujienos/jura/klaipedos-naftos-dividendai---7-mln-litu/;1;6970000;0,02;Lt;2007;„Klaip?dos nafta“;2008-04-24
http://www.ve.lt/naujienos/ekonomika/ekonomikos-naujienos/klasco-akcininkams-bus-mokami-dividendai1/;1;26200000;2,07;Lt;2010;KLASCO;2011-02-25
http://www.ve.lt/naujienos/ekonomika/ekonomikos-naujienos/klasco-ismokes-23-mln-litu-dividendu-/;1;23000000;1,81;Lt;2007;KLASCO;2008-03-26
http://www.ve.lt/naujienos/ekonomika/ekonomikos-naujienos/klasco-dividendams-skirs-267-mln-litu/;1;26700000;2,12;Lt;2011;KLASCO;2012-03-01
http://www.ve.lt/naujienos/ekonomika/ekonomikos-naujienos/lietuvos-pastas-valstybei-ismokejo-beveik-600-tukst-dividendu/;1;589082;;Lt;2011;Lietuvos paštas;2012-06-13
https://www.telia.lt/investuotojams/dividendai;1;;0,07;Eur;2018;„Telia Lietuva“;
http://aprangagroup.lt/lt/investuotojams/informacija-investuotojams/dividendai;1;9399633;0,17;Eur;2017;„Apranga group“;
https://www.vz.lt/energetika/2018/04/24/amber-grid-ismokes-203-mln-eur-dividendu;1;20300000;0,1138;Eur;2017;„Amber Grid“;2018-04-24
https://www.sb.lt/lt/apie-banka/investuotuojams/informacija-apie-akcijas/dividendai/;1;2264930;0,005;Eur;2017;„Šiauli? bankas“;
http://www.veislita.lt/naujienos/dividendai;1;;0,0146;Eur;2016;„Lietuvos veislininkyst?“;
https://www.delfi.lt/verslas/rinka/pst-ismokes-beveik-1-mln-euru-dividendu.d?id=77843447;1;981000;0,06;Eur;2017;PST;2018-04-27
https://www.15min.lt/verslas/naujiena/bendroves/4000-euru-alga-mokanti-sviesos-konversija-atidaro-gamykla-ir-iesko-darbuotoju-663-999658;1;5000000;;Eur;2017;„Šviesos konversija“;2018-07-12
https://www.delfi.lt/pilietis/naujienos/kausto-nerimas-vilniuje-tvarkomos-gatves-iki-kitos-liuties.d?id=78578571;0;;;;;;
https://www.delfi.lt/auto/laisva-pavara/tamsioji-tesla-puse-darbuotojai-pasakoja-apie-braidziojima-po-srutas-ir-incidentu-nuslepimus.d?id=78598249;0;;;;;;
https://www.delfi.lt/veidai/zmones/klaipedoje-zuvusios-manekenes-byloje-kyla-itampa-isikisti-teko-ir-generalinei-prokuraturai.d?id=78599469;0;;;;;;
https://www.delfi.lt/news/daily/world/po-pasipiktinimo-bangos-del-susitikimo-su-putinu-neiprastas-trumpo-pareiskimas.d?id=78599005;0;;;;;;
https://www.delfi.lt/news/daily/lithuania/turi-plana-b-valstieciams-kirkilas-ivardijo-kas-galetu-buti-bendras-partiju-kandidatas-i-prezidentus.d?id=78599921;0;;;;;;
https://www.delfi.lt/news/daily/lithuania/staigmena-naujausiuose-kandidatu-i-prezidentus-reitinguose-lyderiu-trejetuke-ivyko-pokyciai.d?id=78582555;0;;;;;;
https://www.delfi.lt/sportas/futbolas/sensacija-kipre-gynyboje-uzsidariusi-suduva-is-turnyro-eliminavo-apoel-kluba.d?id=78598465#cxrecs_s;0;;;;;;
https://www.15min.lt/naujiena/aktualu/nusikaltimaiirnelaimes/imones-savininkas-beveik-puse-milijono-euru-pervede-tiesiai-sukciams-i-saskaita-59-1002668;0;;;;;;
https://www.15min.lt/naujiena/aktualu/lietuva/pastarosios-liutys-pridare-simtatukstantines-zalos-56-1002664;0;;;;;;
https://www.15min.lt/naujiena/aktualu/lietuva/palanga-aklavieteje-del-pavojingu-nutruktgalviu-su-paspirtukais-tures-bausti-visus-56-1000994;0;;;;;;
https://www.15min.lt/verslas/naujiena/transportas/nuplauke-tukstanciai-siltu-darbo-vietu-viskas-del-skrydzio-i-londona-667-1001992;0;;;;;;
https://www.15min.lt/naujiena/aktualu/pasaulis/d-trumpas-sutinka-kad-rusija-kisosi-i-rinkimus-teigia-ne-taip-isreiskes-minti-57-1002626;0;;;;;;
https://www.15min.lt/naujiena/aktualu/komentarai/marius-laurinavicius-d-trumpas-helsinkyje-nieko-neisdave-ir-nepardave-nes-neturejo-ka-500-1002584;0;;;;;;
https://www.15min.lt/naujiena/aktualu/lietuva/prezidento-rinkimu-reitingu-trejetukas-be-s-skvernelio-56-1002622;0;;;;;;
https://www.15min.lt/pasaulis-kiseneje/naujiena/kelioniu-pulsas/6-naujos-unesco-saugomos-vietos-europoje-637-1002474;0;;;;;;
https://www.15min.lt/verslas/naujiena/kvadratinis-metras/nekilnojamasis-turtas/palangoje-planuojamo-marriott-viesbucio-dar-teks-palaukti-973-1002024;0;;;;;;
https://www.15min.lt/sportas/naujiena/futbolas/prancuzu-talentas-paverge-pasauli-laimeta-premija-paaukojo-kilniam-tikslui-24-1002524;0;;;;;;
https://www.15min.lt/24sek/naujiena/kablys/pasaulio-futbolo-cempiono-pokstas-meile-nba-zaidejui-880-1002218;0;;;;;;
https://www.lrytas.lt/pasaulis/rytai-vakarai/2018/07/18/news/izeistas-jav-prezidentas-priesams-gali-kirsti-is-pasalu-6993313/;0;;;;;;
https://www.lrytas.lt/lietuvosdiena/aktualijos/2018/07/18/news/turi-plana-b-valstieciams-g-kirkilas-ivardijo-kas-galetu-buti-bendras-partiju-kandidatas-i-prezidentus-6995062/;0;;;;;;
https://www.lrytas.lt/verslas/rinkos-pulsas/2018/07/18/news/ispeja-pirkejus-saldytose-darzovese-rastas-mirtinas-uzkratas-6993291/;0;;;;;;
https://www.lrytas.lt/lietuvosdiena/aktualijos/2018/07/18/news/piju-is-naisiu-vasaros-nustebino-vrk-isvada-r-karbauskis-atvaziuodavo-tik-is-smalsumo--6993284/;0;;;;;;
https://www.lrytas.lt/bendraukime/man-rupi/2018/07/17/news/viesnage-londone-atvere-akis-pamacius-vietines-istiko-kulturinis-sokas--6953605/;0;;;;;;
https://www.lrytas.lt/verslas/sekmes-istorijos/2018/07/18/news/kauno-sekme-be-cia-kuriamu-gaminiu-neissivercia-pasaulines-imones-6981729/;0;;;;;;
https://www.lrytas.lt/sportas/futbolas/2018/07/18/news/futbolo-fabrikai-kurie-uzstrigo-rusijoje-cempionatui-truko-tik-vieno-dalyko-6989735/;0;;;;;;
https://www.lrytas.lt/sportas/futbolas/2018/07/18/news/futbolo-fabrikai-kurie-uzstrigo-rusijoje-cempionatui-truko-tik-vieno-dalyko-6989735/;0;;;;;;
https://www.lrytas.lt/sportas/futbolas/2018/07/17/news/svarbiausias-sezono-musis-suduva-isvykoje-kaunasi-su-apoel-6990974/;0;;;;;;
https://www.lrytas.lt/verslas/rinkos-pulsas/2018/07/17/news/lietuva-ir-ukraina-planuoja-naujus-tiesioginius-skrydzius-traukiniu-marsrutus-6990802/;0;;;;;;
https://www.lrytas.lt/verslas/rinkos-pulsas/2018/07/17/news/apie-artejancia-griuti-kalba-vis-dazniau-nera-abejoniu-kad-susidursime-su-krize-6949993/;0;;;;;;
https://www.lrytas.lt/verslas/rinkos-pulsas/2018/07/18/news/vietiniu-kova-su-turistais-draudzia-asmenukiu-lazdas-aukstakulnius-ir-tatuiruotes-6983258/;0;;;;;;
https://www.lrytas.lt/lietuvosdiena/aktualijos/2018/07/18/news/kuriamas-naujas-visuomeninis-judejimas-lietuvos-liberalai-atgaivina-liberalias-vertybes-6988861/;0;;;;;;
https://www.vz.lt/finansai-apskaita/2018/07/17/vmi-paaiskina-seimo-priimtus-gyventoju-pajamu-mokescio-pakeitimus;0;;;;;;
https://www.vz.lt/nekilnojamasis-turtas-statyba/2018/07/17/nordea-padalini-senamiestyje-keicia-bendradarbystes-erdve-restoranas-ir-parduotuve;0;;;;;;
https://www.vz.lt/nekilnojamasis-turtas-statyba/2018/07/18/auksciausioje-vilniaus-vietoje-suplanavo-16-isskirtines-architekturos-namu-kvartala;0;;;;;;
https://www.vz.lt/bankai-draudimas/2018/07/18/swedbank-lietuvoje-5-isaugino-grynaji-pelna;0;;;;;;
https://www.vz.lt/nekilnojamasis-turtas-statyba/2018/07/18/workland-planuoja-tolesne-pletra-vilniuje-investuos-15-mln-eur;0;;;;;;
https://www.vz.lt/vadyba/is-tarnybos-i/2018/07/18/devbridge-group-vilniaus-padalinys-turi-nauja-vadova;0;;;;;;
https://www.vz.lt/finansai-apskaita/2018/07/18/bankai-atsisako-klientu-o-pakiles-spiecius-iesko-naujo-avilio;0;;;;;;
https://www.vz.lt/pramone/2018/07/18/inhus-svedijoje-igyvendina-ypatinga-projekta-pasiruosimas-truko-metus;0;;;;;;
http://www.diena.lt/naujienos/vilnius/miesto-pulsas/pripazinimas-forbes-kelioniu-skiltyje-pagyros-vilniaus-senamiesciui-872898;0;;;;;;
http://www.diena.lt/naujienos/vilnius/miesto-pulsas/liuciu-apgadintu-dviraciu-taku-vilniuje-remontas-uztruks-dvi-savaites-872889;0;;;;;;
http://www.diena.lt/naujienos/lietuva/salies-pulsas/vokietijos-poligonuose-testuojami-lietuvai-pagaminti-sarvuociai-boxer-872974;0;;;;;;
http://www.diena.lt/naujienos/lietuva/politika/netiketumas-prezidento-rinkimu-reitingu-trejetukas-be-s-skvernelio-872944;0;;;;;;
http://www.diena.lt/galerijos/vaizdai/prezidente-susitiko-su-misija-sibiras-dalyviais-872961;0;;;;;;
http://www.diena.lt/galerijos/vaizdai/lkl-spaudos-konferencija-872939;0;;;;;;
http://www.diena.lt/naujienos/vilnius/nusikaltimai-ir-nelaimes/i-sukciu-spastus-papuole-imone-neteko-475-tukst-euru-872979;0;;;;;;
http://www.diena.lt/naujienos/kaunas/menas-ir-pramogos/unikali-bliuzo-kelione-nuo-memfio-iki-cikagos-ir-atgal-872960;0;;;;;;
http://www.diena.lt/naujienos/vilnius/nusikaltimai-ir-nelaimes/dviraciu-vagis-ikliuvo-su-ikalciais-872958;0;;;;;;
http://www.diena.lt/naujienos/vilnius/nusikaltimai-ir-nelaimes/vilniaus-rajone-dega-gyvenamasis-namas-872909;0;;;;;;
https://www.lzinios.lt/lzinios/Svietimas/sarada-mokytoju-per-daug-bet-ju-truksta/269210;0;;;;;;
https://www.lzinios.lt/lzinios/Komentarai/zvirbliu-isskris-juodaja-gulbe-sugris/269204;0;;;;;;
https://www.lzinios.lt/lzinios/Ekonomika/gyventojams-rupi-es-lesu-panaudojimas/269208;0;;;;;;
https://www.lzinios.lt/lzinios/Gimtasis-krastas/gedimino-kalno-situacija-stabili/269153;0;;;;;;
https://www.lzinios.lt/lzinios/Gimtasis-krastas/liuties-zala-sostines-dviraciu-takams-bus-likviduota-per-dvi-savaites/269176;0;;;;;;
https://www.lzinios.lt/lzinios/Lietuva/del-pensiju-reformos-kyla-i-nauja-musi/269131;0;;;;;;
https://www.lzinios.lt/lzinios/Lietuva/ko-reikia-kad-lrt-taptu-neitiketina/269130;0;;;;;;
https://www.lzinios.lt/lzinios/Gimtasis-krastas/remigijui-simasiui-nemalonumai-del-siuksliu-tesiasi/269169;0;;;;;;
https://www.lzinios.lt/lzinios/Mokslas-ir-svietimas/-google-street-view-grizta-i-lietuvos-kelius/269217;0;;;;;;
https://www.lzinios.lt/lzinios/Gimtasis-krastas/jaunimas-nori-pirkti-po-trupineli-pilies/269027;0;;;;;;
https://www.alfa.lt/straipsnis/50304445/po-pertraukos-prabude-neymaro-vedami-brazilai-pasaulio-cempionato-ketvirtfinalyje;0;;;;;;
https://www.alfa.lt/straipsnis/50308678/paaiskejo-daugiau-detaliu-apie-subsidijas-pirmam-bustui-apsidziaugs-ne-visi;0;;;;;;
https://www.alfa.lt/straipsnis/50308717/prie-seimo-galimai-nelegali-ledo-skulptura;0;;;;;;
https://www.alfa.lt/straipsnis/50308501/nt-rinka-kaune-investuotojai-neskuba-griebti-skaniu-bet-brangiu-kasneliu;0;;;;;;
https://www.alfa.lt/straipsnis/50308675/istorine-pergale-cempionu-lygoje-suduvai-garantavo-rekordine-pinigine-premija-is-uefa;0;;;;;;
https://www.alfa.lt/straipsnis/50308654/d-trumpas-persigalvojo-rusija-galejo-kistis-i-2016-m-rinkimus;0;;;;;;
https://www.alfa.lt/straipsnis/50308393/antroku-tevai-sukilo-del-pakeistos-mokytojos-direktorius-saiposi;0;;;;;;
https://www.alfa.lt/straipsnis/50307895/prancuzu-pergales-selsmas-nuo-paryziaus-iki-kauno;0;;;;;;
https://www.alfa.lt/straipsnis/50307697/d-trumpas-sulauze-ne-viena-karalisko-protokolo-taisykle-internautai-tai-palaike-nepagarbos-saliai-ir-karalienei-gestu;0;;;;;;
https://www.alfa.lt/straipsnis/50307235/po-vienos-itempciausiu-dienu-nato-istorijoje-d-grybauskaites-ir-d-trumpo-pokalbis-akis-i-aki-ka-vienas-kitam-pasake-prezidentai;0;;;;;;
https://www.alfa.lt/straipsnis/50308738/vmi-primena-apie-pamirstus-sumoketi-mokescius-laisku-sulauks-54-tukst-gyventoju;0;;;;;;
